Toimiku ID;Osakonna kood;SARI VIIT;SARI PEALKIRI;Toimiku viit NORM;Toimiku pealkiri NORM;Toimiku indeks;Toimiku nimetus;Mitu asjaajamisaastat/üks asjaajamisaasta;Toimiku alguskuupäev;Toimiku lõppkuupäev;Säilitustähtaeg
220;010101;1.1-2;Maavanema nõupidamiste protokollid;1.1-2;Maavanema nõupidamiste protokollid;1.1-2;Maavanema nõupidamiste protokollid;üks asjaajamisaasta;1.01.2002;31.12.2002;99
221;010101;1.1-2;Maavanema nõupidamiste protokollid;1.1-2;Maavanema nõupidamiste protokollid;1.1-2;Maavanema nõupidamiste protokollid;üks asjaajamisaasta;1.01.2003;31.12.2003;99
222;010101;1.1-2;Maavanema nõupidamiste protokollid;1.1-2;Maavanema nõupidamiste protokollid;1.1-2;Maavanema nõupidamiste protokollid;üks asjaajamisaasta;1.01.2004;31.12.2004;99
223;010101;1.1-5;Maavanema moodustatud komisjoni protokollid ja otsused;1.1-5;Maavanema moodustatud komisjoni protokollid ja otsused;1.1-5;Maavanema moodustatud komisjoni protokollid ja otsused;üks asjaajamisaasta;1.01.2002;31.12.2002;10
224;010101;1.1-5;Maavanema moodustatud komisjoni protokollid ja otsused;1.1-5;Maavanema moodustatud komisjoni protokollid ja otsused;1.1-5;Maavanema moodustatud komisjoni protokollid ja otsused;üks asjaajamisaasta;1.01.2003;31.12.2003;10
225;010101;1.1-5;Maavanema moodustatud komisjoni protokollid ja otsused;1.1-5;Maavanema moodustatud komisjoni protokollid ja otsused;1.1-5;Maavanema moodustatud komisjoni protokollid ja otsused;üks asjaajamisaasta;1.01.2004;31.12.2004;10
227;010101;1.1-6;Valimiskomisjoni otsused ja koosolekute protokollid;1.1-6;Valimiskomisjoni otsused ja koosolekute protokollid;1.1-6;Valimiskomisjoni otsused ja koosolekute protokollid;üks asjaajamisaasta;1.01.2003;31.12.2003;99
228;010101;1.1-6;Valimiskomisjoni otsused ja koosolekute protokollid;1.1-6;Valimiskomisjoni otsused ja koosolekute protokollid;1.1-6;Valimiskomisjoni otsused ja koosolekute protokollid;üks asjaajamisaasta;1.01.2004;31.12.2004;99
229;010101;1.1-8;Kriisikomisjoni otsused ja protokollid;1.1-8;Kriisikomisjoni otsused ja protokollid;1.1-8;Kriisikomisjoni otsused ja protokollid;üks asjaajamisaasta;1.01.2002;31.12.2002;99
230;010101;1.1-8;Kriisikomisjoni otsused ja protokollid;1.1-8;Kriisikomisjoni otsused ja protokollid;1.1-8;Kriisikomisjoni otsused ja protokollid;üks asjaajamisaasta;1.01.2003;31.12.2003;99
232;010104;1.4-5;Konkursi- ja atesteerimiskomisjoni esimehe kk-d ja komisjoni protokollid;1.4-5;Konkursi- ja atesteerimiskomisjoni esimehe kk-d ja komisjoni protokollid;1.4-5;Konkursi- ja atesteerimiskomisjoni esimehe kk-d ja komisjoni protokollid;üks asjaajamisaasta;1.01.2002;31.12.2002;25
233;010104;1.4-5;Konkursi- ja atesteerimiskomisjoni esimehe kk-d ja komisjoni protokollid;1.4-5;Konkursi- ja atesteerimiskomisjoni esimehe kk-d ja komisjoni protokollid;1.4-5;Konkursi- ja atesteerimiskomisjoni esimehe kk-d ja komisjoni protokollid;üks asjaajamisaasta;1.01.2003;31.12.2003;25
244;0110;10-2;Ühistranspordialaste küsimuste lahendamise komisjoni koosolekute protokollid;10-2;Ühistranspordialaste küsimuste lahendamise komisjoni koosolekute protokollid;10-2;Ühistranspordialaste küsimuste lahendamise komisjoni koosolekute protokollid;üks asjaajamisaasta;1.01.2002;31.12.2002;7
245;0110;10-2;Ühistranspordialaste küsimuste lahendamise komisjoni koosolekute protokollid;10-2;Ühistranspordialaste küsimuste lahendamise komisjoni koosolekute protokollid;10-2;Ühistranspordialaste küsimuste lahendamise komisjoni koosolekute protokollid;üks asjaajamisaasta;1.01.2003;31.12.2003;7
259;010701;7.1-1;Alaealiste komisjoni istungite protokollid, otsused;7.1-1;Alaealiste komisjoni istungite protokollid, otsused;7.1-1;Alaealiste komisjoni istungite protokollid, otsused;üks asjaajamisaasta;1.01.2002;31.12.2002;10
260;010701;7.1-1;Alaealiste komisjoni istungite protokollid, otsused;7.1-1;Alaealiste komisjoni istungite protokollid, otsused;7.1-1;Alaealiste komisjoni istungite protokollid, otsused;üks asjaajamisaasta;1.01.2003;31.12.2003;10
261;010701;7.1-1;Alaealiste komisjoni istungite protokollid, otsused;7.1-1;Alaealiste komisjoni istungite protokollid, otsused;7.1-1;Alaealiste komisjoni istungite protokollid, otsused;üks asjaajamisaasta;1.01.2004;31.12.2004;10
274;010104;1.4-1;Maavanema personalialased korraldused;1.4-1;Maavanema personalialased korraldused;1.4-1;Maavanema personalialased korraldused;üks asjaajamisaasta;1.01.2002;31.12.2002;50
275;010104;1.4-1;Maavanema personalialased korraldused;1.4-1;Maavanema personalialased korraldused;1.4-1;Maavanema personalialased korraldused;üks asjaajamisaasta;1.01.2003;31.12.2003;50
276;010104;1.4-1;Maavanema personalialased korraldused;1.4-1;Maavanema personalialased korraldused;1.4-1;Maavanema personalialased korraldused;üks asjaajamisaasta;1.01.2004;31.12.2004;50
278;010104;1.4-10;Töölepingud;1.4-10;Töölepingud;1.4-10;Töölepingud;üks asjaajamisaasta;1.01.2003;31.12.2003;50
279;010104;1.4-10;Töölepingud;1.4-10;Töölepingud;1.4-10;Töölepingud;üks asjaajamisaasta;1.01.2004;31.12.2004;50
280;010102;1.2-2;Maavalitsuse ja hallatavate asutuste asjaajamise üleandmise-vastuvõtmise aktid;1.2-2;Maavalitsuse ja hallatavate asutuste asjaajamise üleandmise-vastuvõtmise aktid;1.2-2;Maavalitsuse ja hallatavate asutuste asjaajamise üleandmise-vastuvõtmise aktid;üks asjaajamisaasta;1.01.2002;31.12.2002;10
281;010102;1.2-2;Maavalitsuse ja hallatavate asutuste asjaajamise üleandmise-vastuvõtmise aktid;1.2-2;Maavalitsuse ja hallatavate asutuste asjaajamise üleandmise-vastuvõtmise aktid;1.2-2;Maavalitsuse ja hallatavate asutuste asjaajamise üleandmise-vastuvõtmise aktid;üks asjaajamisaasta;1.01.2003;31.12.2003;10
282;010102;1.2-2;Maavalitsuse ja hallatavate asutuste asjaajamise üleandmise-vastuvõtmise aktid;1.2-2;Maavalitsuse ja hallatavate asutuste asjaajamise üleandmise-vastuvõtmise aktid;1.2-2;Maavalitsuse ja hallatavate asutuste asjaajamise üleandmise-vastuvõtmise aktid;üks asjaajamisaasta;1.01.2004;31.12.2004;10
284;010102;1.2-8;Arhivaalide avalikku arhiivi üleandmise-vastuvõtmise aktid;1.2-8;Arhivaalide avalikku arhiivi üleandmise-vastuvõtmise aktid;1.2-8;Arhivaalide avalikku arhiivi üleandmise-vastuvõtmise aktid;üks asjaajamisaasta;1.01.2003;31.12.2003;99
285;010102;1.2-8;Arhivaalide avalikku arhiivi üleandmise-vastuvõtmise aktid;1.2-8;Arhivaalide avalikku arhiivi üleandmise-vastuvõtmise aktid;1.2-8;Arhivaalide avalikku arhiivi üleandmise-vastuvõtmise aktid;üks asjaajamisaasta;1.01.2004;31.12.2004;99
307;010101;1.1-1;Maavanema üldkorraldused;1.1-1;Maavanema üldkorraldused;1.1-1;Maavanema üldkorraldused;üks asjaajamisaasta;1.01.2002;31.12.2002;99
308;010101;1.1-1;Maavanema üldkorraldused;1.1-1;Maavanema üldkorraldused;1.1-1;Maavanema üldkorraldused;üks asjaajamisaasta;1.01.2003;31.12.2003;99
309;010101;1.1-1;Maavanema üldkorraldused;1.1-1;Maavanema üldkorraldused;1.1-1;Maavanema üldkorraldused;üks asjaajamisaasta;1.01.2004;31.12.2004;99
311;010104;1.4-2;Puhkuste ja teenistuslähetuste korraldused;1.4-2;Puhkuste ja teenistuslähetuste korraldused;1.4-2;Puhkuste ja teenistuslähetuste korraldused;üks asjaajamisaasta;1.01.2003;31.12.2003;7
312;010104;1.4-2;Puhkuste ja teenistuslähetuste korraldused;1.4-2;Puhkuste ja teenistuslähetuste korraldused;1.4-2;Puhkuste ja teenistuslähetuste korraldused;üks asjaajamisaasta;1.01.2004;31.12.2004;7
314;010104;1.4-3;Maavanema korraldused struktuuriüksuste põhimääruste, ametijuhendite ja muudes küsimustes;1.4-3;Maavanema korraldused struktuuriüksuste põhimääruste, ametijuhendite ja atesteerimisnõuete kehtestamise küsimustes;1.4-3;Maavanema korraldused strukt.üksuste põhimääruste,ametijuhendite ja atest.nõuete kehtestam kohta;üks asjaajamisaasta;1.01.2003;31.12.2003;7
315;010104;1.4-3;Maavanema korraldused struktuuriüksuste põhimääruste, ametijuhendite ja muudes küsimustes;1.4-3;Maavanema korraldused struktuuriüksuste põhimääruste, ametijuhendite ja atesteerimisnõuete kehtestamise küsimustes;1.4-3;Maavanema korraldused strukt.üksuste põhimääruste,ametijuhendite ja atest.nõuete kehtestam kohta;üks asjaajamisaasta;1.01.2004;31.12.2004;7
316;0105;5-2;Soodustingimustel tehniliste abivahendite saajate andmebaas ja aruanded;5-2;Soodustingimustel tehniliste abivahendite saajate andmebaas ja aruanded;5-2;Soodustingimustel tehniliste abivahendite saajate andmebaas ja aruanded;üks asjaajamisaasta;1.01.2002;31.12.2002;10
325;010104;1.4-16;Personalialased statistilised aruanded, analüüsid, kaaskirjad;1.4-16;Personalialased statistilised aruanded, analüüsid, kaaskirjad;1.4-16;Personalialased statistilised aruanded, analüüsid, kaaskirjad;üks asjaajamisaasta;1.01.2002;31.12.2002;10
326;010104;1.4-16;Personalialased statistilised aruanded, analüüsid, kaaskirjad;1.4-16;Personalialased statistilised aruanded, analüüsid, kaaskirjad;1.4-16;Personalialased statistilised aruanded, analüüsid, kaaskirjad;üks asjaajamisaasta;1.01.2003;31.12.2003;10
361;011107;11.7-1;Perekonnaseisutoimingute aruanded;11.7-1;Perekonnaseisuaktide koostamise kuuaruanded;11.7-1;Perekonnaseisuaktide koostamise kuuaruanded;üks asjaajamisaasta;1.01.2002;31.12.2002;10
362;011107;11.7-1;Perekonnaseisutoimingute aruanded;11.7-1;Perekonnaseisuaktide koostamise kuuaruanded;11.7-1;Perekonnaseisuaktide koostamise kuuaruanded;üks asjaajamisaasta;1.01.2003;31.12.2003;10
363;011107;11.7-1;Perekonnaseisutoimingute aruanded;11.7-1;Perekonnaseisuaktide koostamise kuuaruanded;11.7-1;Perekonnaseisuaktide koostamise kuuaruanded;üks asjaajamisaasta;1.01.2004;31.12.2004;10
480;0109;9-4;Regionaalse arengu arendusprojektid, komisjoni protokollid, otsused;9-4;Regionaalse arengu arendusprojektid, komisjoni protokollid, otsused;9-4;Regionaalse arengu arendusprojektid, komisjoni protokollid, otsused;üks asjaajamisaasta;1.01.2004;31.12.2004;10
484;010302;3.2-1;Maaüksuste toimikud;3.2-1.1;Talude tagastamise toimikud;3.2-1.1;Talude tagastamise toimikud;üks asjaajamisaasta;1.01.2002;31.12.2002;99
485;010302;3.2-1;Maaüksuste toimikud;3.2-1.1;Talude tagastamise toimikud;3.2-1.1;Talude tagastamise toimikud;üks asjaajamisaasta;1.01.2003;31.12.2003;99
486;010302;3.2-1;Maaüksuste toimikud;3.2-1.1;Talude tagastamise toimikud;3.2-1.1;Talude tagastamise toimikud;üks asjaajamisaasta;1.01.2004;31.12.2004;99
490;010302;3.2-1;Maaüksuste toimikud;3.2-1.3;Ostueesõigusega erastamise toimikud;3.2-1.3;Ostueesõigusega erastamise toimikud;üks asjaajamisaasta;1.01.2002;31.12.2002;99
491;010302;3.2-1;Maaüksuste toimikud;3.2-1.3;Ostueesõigusega erastamise toimikud;3.2-1.3;Ostueesõigusega erastamise toimikud;üks asjaajamisaasta;1.01.2003;31.12.2003;99
492;010302;3.2-1;Maaüksuste toimikud;3.2-1.3;Ostueesõigusega erastamise toimikud;3.2-1.3;Ostueesõigusega erastamise toimikud;üks asjaajamisaasta;1.01.2004;31.12.2004;99
493;010302;3.2-1;Maaüksuste toimikud;3.2-1.4;Enampakkumisega erastamise toimikud;3.2-1.4;Enampakkumisega erastamise toimikud;üks asjaajamisaasta;1.01.2002;31.12.2002;99
494;010302;3.2-1;Maaüksuste toimikud;3.2-1.4;Enampakkumisega erastamise toimikud;3.2-1.4;Enampakkumisega erastamise toimikud;üks asjaajamisaasta;1.01.2003;31.12.2003;99
495;010302;3.2-1;Maaüksuste toimikud;3.2-1.4;Enampakkumisega erastamise toimikud;3.2-1.4;Enampakkumisega erastamise toimikud;üks asjaajamisaasta;1.01.2004;31.12.2004;99
496;010302;3.2-1;Maaüksuste toimikud;3.2-1.5;Vabade põllumajandus- ja metsamaade erastamise toimikud;3.2-1.5;Vabade põllumajandus- ja metsamaade erastamise toimikud;üks asjaajamisaasta;1.01.2002;31.12.2002;99
497;010302;3.2-1;Maaüksuste toimikud;3.2-1.5;Vabade põllumajandus- ja metsamaade erastamise toimikud;3.2-1.5;Vabade põllumajandus- ja metsamaade erastamise toimikud;üks asjaajamisaasta;1.01.2003;31.12.2003;99
498;010302;3.2-1;Maaüksuste toimikud;3.2-1.5;Vabade põllumajandus- ja metsamaade erastamise toimikud;3.2-1.5;Vabade põllumajandus- ja metsamaade erastamise toimikud;üks asjaajamisaasta;1.01.2004;31.12.2004;99
499;010302;3.2-1;Maaüksuste toimikud;3.2-1.6;Munitsipaalomandisse antud maade toimikud;3.2-1.6;Munitsipaalomandisse antud maade toimikud;üks asjaajamisaasta;1.01.2002;31.12.2002;99
500;010302;3.2-1;Maaüksuste toimikud;3.2-1.6;Munitsipaalomandisse antud maade toimikud;3.2-1.6;Munitsipaalomandisse antud maade toimikud;üks asjaajamisaasta;1.01.2003;31.12.2003;99
501;010302;3.2-1;Maaüksuste toimikud;3.2-1.6;Munitsipaalomandisse antud maade toimikud;3.2-1.6;Munitsipaalomandisse antud maade toimikud;üks asjaajamisaasta;1.01.2004;31.12.2004;99
502;010302;3.2-1;Maaüksuste toimikud;3.2-1.7;Riigi omandisse jäetud maade toimikud;3.2-1.7;Riigi omandisse jäetud maade toimikud;üks asjaajamisaasta;1.01.2002;31.12.2002;99
503;010302;3.2-1;Maaüksuste toimikud;3.2-1.7;Riigi omandisse jäetud maade toimikud;3.2-1.7;Riigi omandisse jäetud maade toimikud;üks asjaajamisaasta;1.01.2003;31.12.2003;99
504;010302;3.2-1;Maaüksuste toimikud;3.2-1.7;Riigi omandisse jäetud maade toimikud;3.2-1.7;Riigi omandisse jäetud maade toimikud;üks asjaajamisaasta;1.01.2004;31.12.2004;99
505;010302;3.2-1;Maaüksuste toimikud;3.2-1.8;Hoonestusõiguse või kasutusvalduse seadmise toimikud;3.2-1.8;Hoonestusõiguse või kasutusvalduse seadmise toimikud;üks asjaajamisaasta;1.01.2002;31.12.2002;99
506;010302;3.2-1;Maaüksuste toimikud;3.2-1.8;Hoonestusõiguse või kasutusvalduse seadmise toimikud;3.2-1.8;Hoonestusõiguse või kasutusvalduse seadmise toimikud;üks asjaajamisaasta;1.01.2003;31.12.2003;99
507;010302;3.2-1;Maaüksuste toimikud;3.2-1.8;Hoonestusõiguse või kasutusvalduse seadmise toimikud;3.2-1.8;Hoonestusõiguse või kasutusvalduse seadmise toimikud;üks asjaajamisaasta;1.01.2004;31.12.2004;99
517;010402;4.2-5;Kirjavahetus riigivaraga tehingute teostamise ja haldamise küsimustes;4.2-5;Kirjavahetus riigivaraga tehingute teostamise ja haldamise küsimustes;4.2-5;Kirjavahetus riigivaraga tehingute teostamise ja haldamise küsimustes;üks asjaajamisaasta;1.01.2005;31.12.2005;5
519;0105;5-10;Erihoolekandele suunamine;5-10;Erihoolekandele suunamine;5-10;Erihoolekandele suunamine;üks asjaajamisaasta;1.01.2005;31.12.2005;5
520;0105;5-11;Statistilised aruanded ja kirjavahetus lastekaitse küsimustes;5-11;Statistilised aruanded ja kirjavahetus lastekaitse küsimustes;5-11;Statistilised aruanded ja kirjavahetus lastekaitse küsimustes;üks asjaajamisaasta;1.01.2005;31.12.2005;5
522;0105;5-2;Soodustingimustel tehniliste abivahendite saajate andmebaas ja aruanded;5-2;Soodustingimustel tehniliste abivahendite saajate andmebaas ja aruanded;5-2;Soodustingimustel tehniliste abivahendite saajate andmebaas ja aruanded;üks asjaajamisaasta;1.01.2005;31.12.2005;10
525;0105;5-6;Lapse riiklikule hoolekandele võtmise lepingud;5-6;Lapse riiklikule hoolekandele võtmise lepingud;5-6;Lapse riiklikule hoolekandele võtmise lepingud;üks asjaajamisaasta;1.01.2005;31.12.2005;50
526;0101;1.4-1;Maavanema personalialased korraldused;1-11.1;Personalikorraldused ;1-11.1;Personalikorraldused ;üks asjaajamisaasta;1.01.2005;31.12.2005;50
527;010101;1.1-1;Maavanema üldkorraldused;1.1-1;Maavanema üldkorraldused;1.1-1;Maavanema üldkorraldused;üks asjaajamisaasta;1.01.2005;31.12.2005;99
528;010101;1.1-10;Kirjavahetus isikute tunnustamise ja autasustamise küsimustes;1.1-10;Kirjavahetus isikute tunnustamise ja autasustamise küsimustes;1.1-10;Kirjavahetus isikute tunnustamise ja autasustamise küsimustes;üks asjaajamisaasta;1.01.2005;31.12.2005;5
530;010101;1.1-2;Maavanema nõupidamiste protokollid;1.1-2;Maavanema nõupidamiste protokollid;1.1-2;Maavanema nõupidamiste protokollid;üks asjaajamisaasta;1.01.2005;31.12.2005;99
532;010101;1.1-4;Kirjavahetus asutuste asutamise, ümberkorraldamise ja lõpetamise küsimustes;1.1-4;Kirjavahetus asutuste asutamise, ümberkorraldamise ja lõpetamise küsimustes;1.1-4;Kirjavahetus asutuste asutamise, ümberkorraldamise ja lõpetamise küsimustes;üks asjaajamisaasta;1.01.2005;31.12.2005;5
533;010101;1.1-5;Maavanema moodustatud komisjoni protokollid ja otsused;1.1-5;Maavanema moodustatud komisjoni protokollid ja otsused;1.1-5;Maavanema moodustatud komisjoni protokollid ja otsused;üks asjaajamisaasta;1.01.2005;31.12.2005;10
534;010101;1.1-6;Valimiskomisjoni otsused ja koosolekute protokollid;1.1-6;Valimiskomisjoni otsused ja koosolekute protokollid;1.1-6;Valimiskomisjoni otsused ja koosolekute protokollid;üks asjaajamisaasta;1.01.2005;31.12.2005;99
535;010101;1.1-7;Kirjavahetus valimiste küsimustes;1.1-7;Kirjavahetus valimiste küsimustes;1.1-7;Kirjavahetus valimiste küsimustes;üks asjaajamisaasta;1.01.2005;31.12.2005;5
536;010101;1.1-8;Kriisikomisjoni otsused ja protokollid;1.1-8;Kriisikomisjoni otsused ja protokollid;1.1-8;Kriisikomisjoni otsused ja protokollid;üks asjaajamisaasta;1.01.2005;31.12.2005;99
537;010101;1.1-9;Kirjavahetus sisejulgeoleku institutsioonidega;1.1-9;Kirjavahetus sisejulgeoleku institutsioonidega;1.1-9;Kirjavahetus sisejulgeoleku institutsioonidega;üks asjaajamisaasta;1.01.2005;31.12.2005;5
538;010102;1.2-2;Maavalitsuse ja hallatavate asutuste asjaajamise üleandmise-vastuvõtmise aktid;1.2-2;Maavalitsuse ja hallatavate asutuste asjaajamise üleandmise-vastuvõtmise aktid;1.2-2;Maavalitsuse ja hallatavate asutuste asjaajamise üleandmise-vastuvõtmise aktid;üks asjaajamisaasta;1.01.2005;31.12.2005;10
539;010102;1.2-3;Kirjavahetus asjaajamise ja arhiivinduse küsimustes;1.2-3;Kirjavahetus asjaajamise ja arhiivinduse küsimustes;1.2-3;Kirjavahetus asjaajamise ja arhiivinduse küsimustes;üks asjaajamisaasta;1.01.2005;31.12.2005;5
540;010102;1.2-4;Kirjavahetus avaliku arhiiviga arhiivitöö küsimustes;1.2-4;Kirjavahetus avaliku arhiiviga arhiivitöö küsimustes;1.2-4;Kirjavahetus avaliku arhiiviga arhiivitöö küsimustes;üks asjaajamisaasta;1.01.2005;31.12.2005;10
541;010102;1.2-5;Kirjavahetus teabenõuete ja üldiste avalduste täitmise küsimustes;1.2-5;Kirjavahetus teabenõuete ja üldiste avalduste täitmise küsimustes;1.2-5;Kirjavahetus teabenõuete ja üldiste avalduste täitmise küsimustes;üks asjaajamisaasta;1.01.2005;31.12.2005;5
543;010103;1.3-1;Lepingud;1.3-1;Lepingud;1.3-1;Lepingud;üks asjaajamisaasta;1.01.2005;31.12.2005;10
544;010103;1.3-2;Kirjavahetus õigusaktide eelnõude kooskõlastamise küsimuses;1.3-2;Kirjavahetus õigusaktide eelnõude kooskõlastamise küsimuses;1.3-2;Kirjavahetus õigusaktide eelnõude kooskõlastamise küsimuses;üks asjaajamisaasta;1.01.2005;31.12.2005;5
