Toimiku ID;Osakonna kood;SARI VIIT;SARI PEALKIRI;Toimiku viit NORM;Toimiku pealkiri NORM;Toimiku indeks;Toimiku nimetus;Mitu asjaajamisaastat/üks asjaajamisaasta;Toimiku alguskuupäev;Toimiku lõppkuupäev;Säilitustähtaeg
28;101;1-13;Komisjonide ja töögruppide kirjavahetus;1-13-2;Standardimiskomisjoni kirjavahetus;1.-13-2;Sandardimiskomisjoni kirjavahetus;üks asjaajamisaasta;1.01.2004;31.12.2004;5
29;101;1-13;Komisjonide ja töögruppide kirjavahetus;1-13-2;Standardimiskomisjoni kirjavahetus;1.-13-2;Sandardimiskomisjoni kirjavahetus;üks asjaajamisaasta;1.01.2005;31.12.2005;5
30;101;1-14;Kriminaalpreventsiooni nõukogu kirjavahetus;1-14;Kriminaalpreventsiooni nõukogu kirjavahetus;1.-14;Kriminaalpreventsiooni Nõukogu kirjavahetus;üks asjaajamisaasta;1.01.2003;31.12.2003;5
31;101;1-14;Kriminaalpreventsiooni nõukogu kirjavahetus;1-14;Kriminaalpreventsiooni nõukogu kirjavahetus;1.-14;Kriminaalpreventsiooni Nõukogu kirjavahetus;üks asjaajamisaasta;1.01.2004;31.12.2004;5
32;101;1-14;Kriminaalpreventsiooni nõukogu kirjavahetus;1-14;Kriminaalpreventsiooni nõukogu kirjavahetus;1.-14;Kriminaalpreventsiooni Nõukogu kirjavahetus;üks asjaajamisaasta;1.01.2005;31.12.2005;5
33;101;1-15;Rahapesukomisjoni kirjavahetus;1-15;Rahapesukomisjoni kirjavahetus;1.-15;Rahapesukomisjoni kirjavahetus;üks asjaajamisaasta;1.01.2003;31.12.2003;5
34;101;1-15;Rahapesukomisjoni kirjavahetus;1-15;Rahapesukomisjoni kirjavahetus;1.-15;Rahapesukomisjoni kirjavahetus;üks asjaajamisaasta;1.01.2004;31.12.2004;5
35;101;1-15;Rahapesukomisjoni kirjavahetus;1-15;Rahapesukomisjoni kirjavahetus;1.-15;Rahapesukomisjoni kirjavahetus;üks asjaajamisaasta;1.01.2005;31.12.2005;5
36;101;1-16;SIM ja valitsemisala arengu ja tegevusealane kirjavahetus;1-16-1;Siseauditi ja teenistusliku järelevalve teostamise plaanid;1.-16-1;Ministeeriumi ja valitsemisala arengu ja tegevusalane kirjavahetus;üks asjaajamisaasta;1.01.2003;31.12.2003;5
37;101;1-16;SIM ja valitsemisala arengu ja tegevusealane kirjavahetus;1-16-1;Siseauditi ja teenistusliku järelevalve teostamise plaanid;1.-16-1;Siseauditi ja teenistusliku järelevalve teostamise plaanid;üks asjaajamisaasta;1.01.2004;31.12.2004;5
38;101;1-16;SIM ja valitsemisala arengu ja tegevusealane kirjavahetus;1-16-1;Siseauditi ja teenistusliku järelevalve teostamise plaanid;1.-16-1;Siseauditi ja teenistusliku järelevalve teostamise plaanid;üks asjaajamisaasta;1.01.2005;31.12.2005;5
39;101;1-16;SIM ja valitsemisala arengu ja tegevusealane kirjavahetus;1-16-2;Nõunike kirjavahetus;1.-16-2;Nõunike kirjavahetus;üks asjaajamisaasta;1.01.2003;31.12.2003;5
40;101;1-16;SIM ja valitsemisala arengu ja tegevusealane kirjavahetus;1-16-2;Nõunike kirjavahetus;1.-16-2;Nõunike kirjavahetus;üks asjaajamisaasta;1.01.2004;31.12.2004;5
41;101;1-16;SIM ja valitsemisala arengu ja tegevusealane kirjavahetus;1-16-2;Nõunike kirjavahetus;1.-16-2;Nõunike kirjavahetus;üks asjaajamisaasta;1.01.2005;31.12.2005;5
42;101;1-16;SIM ja valitsemisala arengu ja tegevusealane kirjavahetus;1-16-3;Asekantslerite kirjavahetus;1.-16-3;Asekantsleri kirjavahetus;üks asjaajamisaasta;1.01.2003;31.12.2003;5
43;101;1-16;SIM ja valitsemisala arengu ja tegevusealane kirjavahetus;1-16-3;Asekantslerite kirjavahetus;1.-16-3;Asekantsleri kirjavahetus;üks asjaajamisaasta;1.01.2004;31.12.2004;5
44;101;1-16;SIM ja valitsemisala arengu ja tegevusealane kirjavahetus;1-16-3;Asekantslerite kirjavahetus;1.-16-3;Asekantslerite kirjavahetus;üks asjaajamisaasta;1.01.2005;31.12.2005;5
45;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-1;VV Kriisikomisjoni dokumendid;1.-17-1a;VV Kriisikomisjoni dokumendid;üks asjaajamisaasta;1.01.2004;31.12.2004;1
46;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-1;VV Kriisikomisjoni dokumendid;1.-17-1a;VV Kriisikomisjoni dokumendid;üks asjaajamisaasta;1.01.2005;31.12.2005;1
47;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-1;VV Kriisikomisjoni dokumendid;1.-17-1b;VV Kriisikomisjoni protokollid,  otsused ja kirjavahetus;üks asjaajamisaasta;1.01.2003;31.12.2003;1
48;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-1;VV Kriisikomisjoni dokumendid;1.-17-1b;VV Kriisikomisjoni protokollid,  otsused ja kirjavahetus;üks asjaajamisaasta;1.01.2004;31.12.2004;1
50;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-2;VV Regionaalpoliitika Nõukogu dokumendid;1.-17-2;VV Regionaalpoliitika Nõukogu dokumendid;üks asjaajamisaasta;1.01.2003;31.12.2003;1
51;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-2;VV Regionaalpoliitika Nõukogu dokumendid;1.-17-2;VV Regionaalpoliitika Nõukogu dokumendid;üks asjaajamisaasta;1.01.2004;31.12.2004;1
52;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-2;VV Regionaalpoliitika Nõukogu dokumendid;1.-17-2;VV Regionaalpoliitika Nõukogu dokumendid;üks asjaajamisaasta;1.01.2005;31.12.2005;1
53;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-3;VV Kohanimenõukogu dokumendid;1.-17-3;VV Kohanimenõukogu dokumendid;üks asjaajamisaasta;1.01.2003;31.12.2003;1
54;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-3;VV Kohanimenõukogu dokumendid;1.-17-3;VV Kohanimenõukogu dokumendid;üks asjaajamisaasta;1.01.2004;31.12.2004;1
55;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-3;VV Kohanimenõukogu dokumendid;1.-17-3;VV Kohanimenõukogu dokumendid;üks asjaajamisaasta;1.01.2005;31.12.2005;1
56;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-4;VV Väikesaarte komisjoni protokollid ja kirjavahetus;1.-17-4b;VV Väikesaarte komisjoni protokollid ja kirjavahetus;üks asjaajamisaasta;1.01.2004;31.12.2004;1
57;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-4;VV Väikesaarte komisjoni protokollid ja kirjavahetus;1.-17-4b;VV Väikesaarte komisjoni protokollid ja kirjavahetus;üks asjaajamisaasta;1.01.2005;31.12.2005;1
58;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-5;VV ja kodanikeühenduste esindajate ühiskomisjoni dokumendid;1.-17-5;VV ja kodanikeühenduste esindajate ühiskomisjoni dokumendid;üks asjaajamisaasta;1.01.2004;31.12.2004;1
59;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-5;VV ja kodanikeühenduste esindajate ühiskomisjoni dokumendid;1.-17-5;VV ja kodanikeühenduste esindajate ühiskomisjoni dokumendid;üks asjaajamisaasta;1.01.2005;31.12.2005;1
60;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-6;Ministeeriumite vahelise komisjoni ja OMV koostöökogu läbirääkimiste alased dokumendid;1.-17-6;Ministeeriumite vahelise komisjoni ja OMV koostöökogu läbirääkimiste alased dokumendid;üks asjaajamisaasta;1.01.2004;31.12.2004;1
61;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-6;Ministeeriumite vahelise komisjoni ja OMV koostöökogu läbirääkimiste alased dokumendid;1.-17-6;Ministeeriumite vahelise komisjoni ja OMV koostöökogu läbirääkimiste alased dokumendid;üks asjaajamisaasta;1.01.2005;31.12.2005;1
62;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-7;Setomaa asjatundjate komisjoni dokumendid;1.-17-7;Setomaa asjatundjate komisjoni dokumendid;üks asjaajamisaasta;1.01.2004;31.12.2004;1
63;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-7;Setomaa asjatundjate komisjoni dokumendid;1.-17-7;Setomaa asjatundjate komisjoni dokumendid;üks asjaajamisaasta;1.01.2005;31.12.2005;1
64;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-8;Ministeeriumidevahelise Eesti-Läti piiriülese koostöö komisjoni dokumendid;1.-17-8;Ministeeriumidevahelise Eesti-Läti piiriülese koostöö komisjoni dokumendid;üks asjaajamisaasta;1.01.2004;31.12.2004;1
65;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-8;Ministeeriumidevahelise Eesti-Läti piiriülese koostöö komisjoni dokumendid;1.-17-8;Ministeeriumidevahelise Eesti-Läti piiriülese koostöö komisjoni dokumendid;üks asjaajamisaasta;1.01.2005;31.12.2005;1
66;101;1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid;1-17-9;Valla- ja linnasekretäride kutsekomisjoni teenindamisega seotud dokumendid ja kirjavahetus;1.-17-9;Valla- ja linnasekretäride kutsekomisjoni teenindamisega seotud dokumendid ja kirjavahetus;üks asjaajamisaasta;1.01.2004;31.12.2004;1
67;101;1-9;Siseministeeriumi poolt sõlmitud koostöölepingud;1-5-1;Välisriikide organisatsioonidega sõlmitud koostöölepingud, -kokkulepped, konventsioonid;1.-5-1;Välisriikide organisatsioonidega sõlmitud koostöölepingud, -kokkulepped, konventsioonid;üks asjaajamisaasta;1.01.2002;31.12.2002;99
68;101;1-11;SIM tegevuse aastaaruanded, ülevaated, arengukavad;1-6-1;Sisejulgeolekualased aasta ülevaated;1.-6-1;Sisejulgeolekualased aasta ülevaated;üks asjaajamisaasta;1.01.2002;31.12.2002;99
69;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-7-1;Ministeeriumi struktuuride ja koosseisude planeerimise dokumendid;1.-7-1;Ministeeriumi struktuuride ja koosseisude planeerimise dokumendid;üks asjaajamisaasta;1.01.2002;31.12.2002;99
70;101;1-11;SIM tegevuse aastaaruanded, ülevaated, arengukavad;1-7-2;Politsei arengukavad;1.-7-2;Politsei arengukavad;üks asjaajamisaasta;1.01.2002;31.12.2002;99
71;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-7-3;Piirivalve arengukavad;1.-7-3;Piirivalve arengukava;üks asjaajamisaasta;1.01.2002;31.12.2002;99
72;101;1-11;SIM tegevuse aastaaruanded, ülevaated, arengukavad;1-7-4;Päästevaldkonna arengukavad;1.-7-4;Päästevaldkonna arengukavad;üks asjaajamisaasta;1.01.2002;31.12.2002;99
73;101;1-13;Komisjonide ja töögruppide kirjavahetus;1-8-1;Kriminaalpreventsiooni Nõukogu töögrupi kirjavahetus;1.-8-1;Kriminaalpreventsiooni Nõukogu töögrupi kirjavahetus;üks asjaajamisaasta;1.01.2002;31.12.2002;5
74;101;1-11;SIM tegevuse aastaaruanded, ülevaated, arengukavad;1-8-2;KPN tegevuskavad;1.-8-2;KPN tegevuskavad;üks asjaajamisaasta;1.01.2002;31.12.2002;99
75;101;1-13;Komisjonide ja töögruppide kirjavahetus;1-8-3;Schengeni töörühma kirjavahetus;1.-8-3;Schengeni töörühma kirjavahetus;üks asjaajamisaasta;1.01.2002;31.12.2002;99
76;101;1-13;Komisjonide ja töögruppide kirjavahetus;1-8-4;Standardimiskomisjoni tööd puudutav kirjavahetus;1.-8-4;Standardimiskomisjoni tööd puudutav kirjavahetus;üks asjaajamisaasta;1.01.2002;31.12.2002;5
77;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-9-1;Siseauditi ja teenistusliku järelevalve teostamise plaanid;1.-9-1;Siseauditi ja teenistusliku järelevalve teostamise plaanid;üks asjaajamisaasta;1.01.2002;31.12.2002;99
78;101;1-13;Komisjonide ja töögruppide kirjavahetus;1-9-2;Struktuuride ja koosseisude planeerimisalane kirjavahetus;1.-9-2;Struktuuride ja koosseisude planeerimisalane kirjavahetus;üks asjaajamisaasta;1.01.2002;31.12.2002;5
79;101;1-16;SIM ja valitsemisala arengu ja tegevusealane kirjavahetus;1-9-3;Nõunike kirjavahetus;1.-9-3;Nõunike kirjavahetus;üks asjaajamisaasta;1.01.2002;31.12.2002;5
80;101;1-16;SIM ja valitsemisala arengu ja tegevusealane kirjavahetus;1-9-4;Asekantslerite kirjavahetus;1.-9-4;Asekantslerite kirjavahetus;üks asjaajamisaasta;1.01.2002;31.12.2002;5
81;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-1;Kirjavahetus KMAga;1.1-1-1;Kirjavahetus KMAga;üks asjaajamisaasta;1.01.2002;31.12.2002;5
82;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-1;Kirjavahetus KMAga;1.1-1-1;Kirjavahetus KMAga;üks asjaajamisaasta;1.01.2003;31.12.2003;5
83;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-1;Kirjavahetus KMAga;1.1-1-1;Kirjavahetus KMAga;üks asjaajamisaasta;1.01.2004;31.12.2004;5
84;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-1;Kirjavahetus KMAga;1.1-1-1;Kirjavahetus KMAga;üks asjaajamisaasta;1.01.2005;31.12.2005;5
85;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-10;Riigikogu liikmete arupärimised ja kirjalikud küsimused;1.1-1-10;Riigikogu liikmete arupärimised ja kirjalikud küsimused;üks asjaajamisaasta;1.01.2002;31.12.2002;5
86;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-10;Riigivaraosakonna kirjavahetus üldistes küsimustes;1.1-1-10;Riigivaraosakonna kirjavahetus üldistes küsimustes;üks asjaajamisaasta;1.01.2004;31.12.2004;5
87;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-10;Riigivaraosakonna kirjavahetus üldistes küsimustes;1.1-1-10;Riigivaraosakonna kirjavahetus üldistes küsimustes;üks asjaajamisaasta;1.01.2005;31.12.2005;5
88;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-2;Kirjavahetus SKAga;1.1-1-2;Kirjavahetus SKAga;üks asjaajamisaasta;1.01.2002;31.12.2002;5
89;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-2;Kirjavahetus SKAga;1.1-1-2;Kirjavahetus SKAga;üks asjaajamisaasta;1.01.2003;31.12.2003;5
90;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-2;Kirjavahetus SKAga;1.1-1-2;Kirjavahetus SKAga;üks asjaajamisaasta;1.01.2004;31.12.2004;5
91;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-2;Kirjavahetus SKAga;1.1-1-2;Kirjavahetus SKAga;üks asjaajamisaasta;1.01.2005;31.12.2005;5
92;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-3;Kirjavahetus KAPOga;1.1-1-3;Kirjavahetus Kapoga;üks asjaajamisaasta;1.01.2002;31.12.2002;5
93;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-3;Kirjavahetus KAPOga;1.1-1-3;Kirjavahetus KAPOga;üks asjaajamisaasta;1.01.2003;31.12.2003;5
94;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-3;Kirjavahetus KAPOga;1.1-1-3;Kirjavahetus KAPOga;mitu asjaajamisaastat;1.01.2004;31.12.2004;5
95;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-3;Kirjavahetus KAPOga;1.1-1-3;Kirjavahetus KAPOga;üks asjaajamisaasta;1.01.2005;31.12.2005;5
96;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-4;Kirjavahetus PVAga;1.1-1-4;Kirjavahetus PVAga;üks asjaajamisaasta;1.01.2002;31.12.2002;5
97;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-4;Kirjavahetus PVAga;1.1-1-4;Kirjavahetus PVAga;üks asjaajamisaasta;1.01.2003;31.12.2003;5
98;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-4;Kirjavahetus PVAga;1.1-1-4;Kirjavahetus PVAga;üks asjaajamisaasta;1.01.2004;31.12.2004;5
99;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-4;Kirjavahetus PVAga;1.1-1-4;Kirjavahetus PVAga;üks asjaajamisaasta;1.01.2005;31.12.2005;5
100;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-5;Kirjavahetus PAga;1.1-1-5;Kirjavahetus PAga;üks asjaajamisaasta;1.01.2002;31.12.2002;5
101;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-5;Kirjavahetus PAga;1.1-1-5;Kirjavahetus PAga;üks asjaajamisaasta;1.01.2003;31.12.2003;5
102;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-5;Kirjavahetus PAga;1.1-1-5;Kirjavahetus PAga;üks asjaajamisaasta;1.01.2004;31.12.2004;5
103;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-5;Kirjavahetus PAga;1.1-1-5;Kirjavahetus PAga;üks asjaajamisaasta;1.01.2005;31.12.2005;5
104;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-6;Kirjavahetus PÄAga;1.1-1-6;Kirjavahetus PÄAga;üks asjaajamisaasta;1.01.2002;31.12.2002;5
105;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-6;Kirjavahetus PÄAga;1.1-1-6;Kirjavahetus PÄAga;üks asjaajamisaasta;1.01.2003;31.12.2003;5
106;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-6;Kirjavahetus PÄAga;1.1-1-6;Kirjavahetus PÄAga;üks asjaajamisaasta;1.01.2004;31.12.2004;5
107;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-6;Kirjavahetus PÄAga;1.1-1-6;Kirjavahetus PÄAga;üks asjaajamisaasta;1.01.2005;31.12.2005;5
108;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-7;Kirjavahetus Ettevõtluse Arendamise Sihtasutusega;1.1-1-7;Kirjavahetus Ettevõtluse Arendamise Sihtasutusega;üks asjaajamisaasta;1.01.2002;31.12.2002;5
109;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-7;Kirjavahetus asutustega üldistes küsimustes;1.1-1-7;Kirjavahetus asutustega üldises küsimuses;üks asjaajamisaasta;1.01.2003;31.12.2003;5
110;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-7;Kirjavahetus asutustega üldistes küsimustes;1.1-1-7;Kirjavahetus asutustega üldises küsimuses;üks asjaajamisaasta;1.01.2004;31.12.2004;5
111;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-7;Kirjavahetus asutustega üldistes küsimustes;1.1-1-7;Kirjavahetus asutustega üldises küsimuses;üks asjaajamisaasta;1.01.2005;31.12.2005;5
112;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-8;Kirjavahetus asututsega üldistes küsimustes;1.1-1-8;Kirjavahetus asututsega üldistes küsimustes;üks asjaajamisaasta;1.01.2002;31.12.2002;5
113;10101;1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega;1.1-1-8;Kirjavahetus üldistes küsimustes asutusesiseseks kasutamiseks;1.1-1-8;Kirjavahetus üldistes küsimustes asutusesiseseks kasutamiseks;üks asjaajamisaasta;1.01.2003;31.12.2003;5
