100-1;Test
1-13;Strateegia ja arengukava koostamise ja täitmise dokumendid
9.2-1;VV kriisikomisjoni dokumendid
14-1.4;"Meetme ""Piirkondade konkurentsivõime tugevdamine"" komisjoni dokumendid"
9.2-2;Kriisireguleerimisalased juhised
1.2-16;Kirjavahetus avaliku arhiiviga
3.4-4;Atesteerimisalane kirjavahetus
10-3;Rahvastikuregistri arenduse dokumendid 
12.2-4;Siseriiklikud regionaalarengu programmid ja meetmed
10.1-3;Lepingud rahvastiku registri lepinguliste töötlejatega
10.2-1;Perekonnasündmuste registreerimise dokumendid
5.1-5;Struktuuriabi programmid sisejulgeoleku valdkonnas
14-10.8;Perekonnaseisuandmete sisestamine rahvastikuregistrisse digiteeritud perekonnaseisuaktidelt
13-6;Kodanike ja -ühenduste avaldused, ettepanekud ja teabenõuded
3.1-3;Ministri puhkuste ja lähetuste käskkirjad
3.5-1;Riiklike teenetemärkide taotlused ja nende juurde kuuluvad dokumendid
1.1-1;Kirjavahetus valitsemisala asutuste ja teiste riigiasutustega
1-3;Kantsleri üldkäskkirjad
12.5-2;Kirjavahetus regionaalhalduse küsimustes
6.2-3;Visuaalse identiteedi väljatöötamise dokumendid
13-1;Üleriigilise planeeringu dokumendid
3.5-2;Kirjavahetus ergutamise küsimustes
1-19;Komisjonide ja töögruppide dokumendid
7.1-2;Raamatupidamise kirjavahetus
5.1-2;Riigisisesed otsustusprotsessi dokumendid
3.1-12;Kirjavahetus personalialastes küsimustes
1.2-6;Riigisaladusega seotud kirjavahetus
4.2-4;Kirjavahetus teenistusliku järelevalve küsimustes, esildised jmt
3.3-2;Kirjavahetus koolitusküsimustes s.h taseme- ja täiendkoolituse dokumendid
7.2-4;Kirjavahetus riigivara registriga
11-2;Isikut tõendavate dokumentide poliitika kujundamise ja elluviimise dokumendid
7.1-14;Majanduslepingud
12.2-3-20;EL struktuuriabi projekti Kohaliku omavalitsuse infosüsteemide turvameetmete tõhustamise - ISKE dokumendid
5.2-1;Rahvusvaheliste suhete alane kirjavahetus
6.1-3;Kodulehekülje haldamise dokumendid
12-4;Kohanimenõukogu dokumendid
9.2-3;Riskianalüüsid
12.5-1;Regionaalhalduse dokumendid
4.1-2;Finantsmajandusliku tegevuse kontrollaktid ja auditi aruanded
3-13;Tööõnnetusaktid, seletuskirjad ja teised dokumendid
9.3-5;Teabe kogumise ja töötlemise alane üldine kirjavahetus
12.6-1;Eesti Riikliku Arengukava 2004-2006 meetme 4.6 dokumendid
9.1-6;Päästealase tegevuse koordineerimise dokumendid
12.6-3;Inimressursi arendamise rakenduskava 2007-2013 meetmete dokumendid
12.2-2;EL struktuuriabi meetmed kohaliku ja regionaalse arengu valdkonnas
14-5.8;URBACT programm 2007-2013 dokumendid
12.1-2;KOV arengukavade ja arendustegevuse alane kirjavahetus
1.1-13;Strateegia, arengukava koostamise alusdokumendid
9.1-5;Piirivalvealase tegevuse koordineerimisega seotud dokumendid
12.1-3;Kirjavahetus kohalike omavalitsuste tegevuse küsimustes
3.1-2;Kantsleri personalialased käskkirjad
3.5-1;Riiklike autasudega ning teenete- ja aumärkidega autasustamise taotlused ja nende juurde kuuluvad dokumendid
9.1-4;Sisejulgeolekustruktuuride alalise valmisoleku koordineerimise alane kirjavahetus
12.2-3-8;Kesk-Läänemere CBC programm 2007-2013 dokumendid
3-6;Tööleping
12.2-4;Regionaalarengut puudutav kirjavahetus
4.1-1;Siseauditi toimikud
9.1-2;Kriisireguleerimise alased dokumendid
14-10.5;"Projekti ""Uuring ""Esmaste kustutusvahendite eluruumides kohustusliku kasutamise mõjude hindamine"""""
7.2-2;Detailplaneeringute, projekteerimiste ja ehitiste renoveerimise dokumendid
1.1-8;Siseministeeriumi poolt sõlmitud koostööleping/protokoll
7.2-4;Kirjavahetus riigivara küsimustes
13-7;Üldine planeeringualane kirjavahetus
10.2-6;Isikute avaldused perekonnaseisutunnistuste, tõendite ja ärakirjade saamiseks
5.1-3;Kirjavahetus eurointegratsiooni küsimustes
11-4;Viisapoliitika kujundamise ja elluviimise dokumendid
12.2-1;Regionaalarengu dokumendid
14-11;Eesti Riikliku Arengukava 2004-2006 dokumendid
14-6.2;Norra ja EMP finantsmehhanismi projektide dokumentatsioon
12.6-4;Eesti Riikliku Arengukava 2004-2006 ja rakenduskavade 2007-2013 struktuurivahendite tehnilise abi dokumendid
3-10;Personalitöö nõupidamise/koosoleku dokumendid
9.2-5;Riigi tegevusvaru puudutavad dokumendid
1.2-1;Arhivaalide loetelud
9.3-4;Teabe edastamisega seotud dokumendid
3.1-1;Ministri personalialased käskkirjad
9.1-6;NATO-alane kirjavahetus
3.2-5;Kirjavahetus sotsiaal- ja tervishoiu küsimustes
7.2-8;Vallasvaraga seonduv kirjavahetus
8-1;Andmekogude/põhiregistri alg- ja põhidokumendid projektide lõikes
2-2;Teiste ministeeriumite poolt kooskõlastamiseks saadetud eelnõud
13-4;Rahvusvaheline planeeringualane kirjavahetus
14-5.7;INTERACT programm 2007-2013 dokumendid
1.1-12;Struktuuride ja koosseisude planeerimise dokumendid
1-12;Struktuuri ja koosseisude planeerimise dokumendid
12.4-2;Kohanimekorraldusega ning kohanimenõukogu teenindamisega seotud kirjavahetus
3-14;Töötaja tervisekontrolli dokumendid
4.1-2;Juhtkonnale esitatud siseauditi ettekanne, memo, õiend
7.3-2;Infotehnoloogia alaste hangete avalike konkursside korraldamise dokumendid
7.1-4;Majandustehingute arvestus
11-5;Isikute kodakondsus- ja migratsioonialased avaldused ja märgukirjad
7-9;Vara soetamise ja teenuste hinnapakkumised
3.4-1;Konkursi- ja atesteerimiskomisjoni dokumendid
3.1-6;Ametnike teenistuslehed
12.2-3-18;EL struktuurabi projekti Kohalike omavalitsust universaalse teenuse portaali juhtrühma dokumendid
14-10.12;"Projekt ""Valitsusasutuste kaasamisvõimekuse tõstmine"""
7.1-1;Eelarve koostamise dokumendid
4.1-3;Siseauditi tegevusaruanne, kirjavahetus
12.2-5;VV REGO teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid
9.2-6;Elutähtsat infrastruktuuri puudutavad dokumendid
1-11;Tegevusaruanded ja ülevaated
12.2-3-11;Läänemerepiirkonna TNC programm 2007-2013 dokumendid
3.1-6;Tööleping
12.2-3-19;EL struktuurabi projekti Kohalike omavalitsust Volikogu/Valitsuse infosüsteemi VOLIS juhtrühma dokumendid
12.2-3-13;INTERACT programmi 2007-2013 dokumendid
12.2-3-2;Lõuna-Soome ja Eesti INTERREG IIIA programmi 2000-2006 dokumendid
10.3-3;Kirjavahetus usuasjade küsimustes
3.1-10;Personaliarvestuse dokumendid
11-7;Tähtajalise elamis- ja tööloa siseriiklikult taotlemise lubamisega seotud dokumendid
1.1-2;Kirjavahetus seoses isikute, asutuste ja organisatsioonide avaldustele, märgukirjadele ja teabenõuetele vastamisega
5.1-4;Raamprogrammi Turvalisus ja Vabaduste kaitse alased dokumendid
3.1-9;Töölepingud
3.5-3;Politsei teeneteristi komisjoni dokumendid
1-17;VV komisjoni või töögrupi tegevuses tekkinud dokumendid
12.2-3-14;URBACT programm 2007-2013 dokumendid
5.1-6;Üleminekutoetuse projektidega seotud dokumendid
5.1-7;Sisejulgeolekualase välisabi dokumendid
9.1-2;Sisejulgeolekupoliitika väljatöötamise ja elluviimise dokumendid
1.1-15;Tööplaani alusdokumendid
1.1-6;Riigisaladusega seotud kirjavahetus
10.3-1;Vaimulikele abielusõlmimise õiguse andmise dokumendid
12.2-3-1;INTERREG 2000-2006 ja Euroopa territoraalse koostöö 2007-2013 programmide alane kirjavahetus
12.2-3-4;Läänemerepiirkonna INTERREG IIIB programm 2000-2006 dokumendid
5.1-6;Kirjavahetus ELga sisejulgeoleku küsimustes
7.1-11;Rahandusega seotud komisjonide/töögruppide dokumendid
12.2-3-12;INTERREG IVC programmi 2007-2013 dokumendid
12.3-1;Haldusterritoriaalse korralduse ja piiride muutmise dokumendid
7.3-4;Põhi- ja käibevara soetamise hinnapakkumised
1.2-3;Kirjavahetus avaliku arhiiviga
7.2-2;SIM hoonete ja rajatiste planeerimise, projekteerimise, ehitamise, remontimise ja kasutamisega seotud dokumendid objektide lõikes
4.1-5;Siseauditi  tegevusaruanded ja kirjavahetus
10.1-5;Kirjavahetus rahvastiku arvestuse küsimustes
10.1-4;Rahvastikuregistrist andmete väljastamiseks esitatud taotlused ja nende juurde kuuluvad dokumendid s.h otsused
7.2-8;Vallasvaraga seonduv kirjavahetus
10.2-3;Perekonnaseisuaktide kuuaruanded
5.1-4;ELga liitumise läbirääkimistega seotud dokumendid
12.2-3;Regionaalpoliitika nõukogu teenindamisega seotud kirjavahetus
3.3-3;Koolitusalane kirjavahetus
5.2-2;Koostöö- ja välisabiprogrammidega seotud kirjavahetus
1-10;SIM moodustatud või teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid
1-16;SIM ja valitsemisala arengu ja tegevusealane kirjavahetus
10.2-2;Perekonnaseisuasutuste juhendamise ja aruandluse dokumendid
10.2-4;Perekonnaseisu tõendavate tunnistuste registrid
10.3-1;Vaimulikele abielusõlmimise õiguse andmise alusdokumendid
7.1-5;Kirjavahetus raamatupidamise küsimustes
3.1-5;Puhkuste ajakavad, välislähetuste dokumendid
7.1-6;Raamatupidamise dokumendid
4.2-2;Teenistusliku järelevalve dokumendid
10.3-2;Riigi usuelu ülevaated ja analüüsid
12.4-1;Kohanimenõukogu teenidamisega seotud dokumendid
1-13;Komisjonide ja töögruppide kirjavahetus
7.3-5;Riigihangete pakkumiste dokumendid
12.3-1;Haldusterritoriaalse korralduse ja piiride muutmise dokumendid (VV algatused)
5.1-1;ELga liitumise (III sammas) läbirääkimiste kokkulepped
4.2-1;Majanduslike huvide deklaratsioonid ja nende juurde kuuluvad dokumendid
12.4-2;Kohanimekorraldusega seotud kirjavahetus
6-6;Suhtekorralduse alane kirjavahetus
9.1-3;Riskianalüüsid
12.3-2;Haldusterritoriaalse korralduse ja piiride muutmise dokumendid (KOV algatusel)
9.1-1;Sisejulgeoleku alased statistilised ülevaated, analüüsid ja uuringud
1-12;Struktuuride ja koosseisude planeerimise dokumendid
7.2-6;Riigivara rendilepingud
5.1-2;EL ekspertgruppide dokumendid
8-5;Kirjavahetus ja memod infotehnoloogia, side- ja valvetehnika küsimustes
12.3-3;Haldusjaotuse ja haldusterritoriaalse korralduse muutmisega seonduvad analüüsid, ettepanekud ja kirjavahetus
1-11;SIM tegevuse aastaaruanded, ülevaated, arengukavad
9.2-1;Kriminaalpreventiivse töö alane kirjavahetus
3.2-1;Töökeskkonna tegevuskava, riskianalüüsid, aktid jmt
8-1;Eesti kirikute, koguduste ja koguduste liitude register ja registreerimise alusdokumendid
12.1-2;Koostöökogude ja komisjonide dokumendid
3.1-8;Isikutoimikud
4.1-3;Siseauditi kontrollaruanded
4.1-4;Juhtkonnale esitatud siseauditi ettekanded, memod, õiendid
10.1-2;Lepingud rahvastiku registri volitatud töötlejaga
7.2-3;Riigivara registreerimise kaardid
1.2-2;Arhiivinimistud ja muud kirjeldused
7.2-7;Riigivara registri õiendid
6-4;Sümboolika väljatöötamise otsused
3.1-11;Välja võtmata tööraamatud
1.2-5;Arhiivialane kirjavahetus
12.2-3-15;Euroopa territoriaalse koostöö (2007-2013) töörühma dokumendid
7.1-8;Töötasude ja kinnipidamiste arvestus
8-2;Rahvastiku arvestuse andmebaas
7.2-13;Kiriku maade riigiomandisse jätmise ning hoonestusõiguse seadmise dokumendid
3.2-5;Kirjavahetus tööohutuse ja -tervishoiu üldküsimustes
12.2-3-17;Eesti-Läti CBC programmi 2007-2013 lepingud
7.2-1;Riigivaraga teostatud toimingute dokumendid
2-13;Lepingud (v.a majanduslikud ja juhtimisalased) (nt andmevahetusleping, tasuta kasutusleping jmt)
10.2-2;Juhend perekonnaseisuasutustele
9.2-4;Kriisireguleerimisplaanid
1.1-14;Arengu- ja tegevuskava täitmise dokumendid
14-10.15;SAP projektid
9.1-7;Memod sisejulgeoleku küsimustes
9.1-10;Sisejulgeoleku ja avaliku korra tagamise alaste komisjonide ja töögruppide dokumendid
3.4-1;Konkursi- ja atesteerimiskomisjoni esimehe käskkirjad
14-10.16;Kodanikuühenduste riikliku rahastamise korrastamise programm
11-6;Memod ja juhised üldistes kodakondsus ja migratsioonipoliitika küsimustes
4.2-2;Teenistusliku järelevalve läbiviimise dokumendid
12.4-1;Kohanimenõukogu dokumendid
4.1-4;Allasutuse auditi aruanne
14-10.17;Projekt „Rahvastikuregistri aadressandmete kvaliteedi parandamise ja ADS-iga liidestumise analüüs“
